Contract Month,Gasoil ICE,Brent ICE
01/12/2022,,
01/01/2023,,
01/02/2023,,
01/03/2023,,
01/04/2023,,
01/05/2023,661,
01/06/2023,660.75,
01/07/2023,662,75.32
01/08/2023,664.5,75.04
01/09/2023,667.25,74.68
01/10/2023,670.75,74.29
01/11/2023,670,73.93
01/12/2023,666.75,73.58
01/01/2024,666.75,73.27
01/02/2024,666.25,72.99
01/03/2024,664.75,72.75
01/04/2024,663,72.52
01/05/2024,660.75,72.31
01/06/2024,658,72.12
01/07/2024,657,71.91
01/08/2024,656.25,71.72
01/09/2024,656,71.54
01/10/2024,656,71.38
01/11/2024,654.5,71.21
01/12/2024,652.75,71.04
